place_name,region,menu_name,menu_price,address,url,allergy
디오티티,효창동,아메리카노,5000,서울 용산구 효창동 3-18,https://pcmap.place.naver.com/place/1808798826,없음
화원기사식당,효창동,소불백,10000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,고기
화원기사식당,효창동,돼지불백,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,고기
화원기사식당,효창동,불백비빔,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,고기
화원기사식당,효창동,제육볶음,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,고기
화원기사식당,효창동,뚝배기불고기,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,고기
화원기사식당,효창동,닭도리탕,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,고기
화원기사식당,효창동,반계탕,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,고기
화원기사식당,효창동,동태찌개,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,밀
화원기사식당,효창동,김치찌개,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,없음
화원기사식당,효창동,짜글이찌개,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,없음
화원기사식당,효창동,된장찌개,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,땅콩/대두
화원기사식당,효창동,순두부찌개,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,땅콩/대두
화원기사식당,효창동,부대찌개,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,밀
화원기사식당,효창동,떡국,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,밀
화원기사식당,효창동,비빔국수,9000,서울 용산구 효창동 3-319,https://pcmap.place.naver.com/place/1136662836,밀
갤러스,효창동,채끝 스테이크 300G,13000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,고기
갤러스,효창동,카치오 에 페페,11000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,없음
갤러스,효창동,채끝 스테이크 200G,11000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,고기
갤러스,효창동,채끝 스테이크 400G,13000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,고기
갤러스,효창동,트러플 베이컨 크림 파스타,12000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,"밀, 고기, 우유"
갤러스,효창동,토마토 커리 파스타,11000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,밀
갤러스,효창동,위스키,9000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,없음
갤러스,효창동,칵테일,9000,서울 용산구 효창동 3-84,https://pcmap.place.naver.com/place/1495907586,없음
어거스트95,효창동,아메리카노,5000,서울 용산구 효창동 3-116,https://pcmap.place.naver.com/place/1942755968,없음
어거스트95,효창동,바닐라라떼,6000,서울 용산구 효창동 3-116,https://pcmap.place.naver.com/place/1942755968,우유
어거스트95,효창동,자몽레몬 에이드,6000,서울 용산구 효창동 3-116,https://pcmap.place.naver.com/place/1942755968,없음
어거스트95,효창동,레몬석류 에이드,6000,서울 용산구 효창동 3-116,https://pcmap.place.naver.com/place/1942755968,없음
키하라,효창동,필터커피,5000,서울 용산구 효창동 3-118,https://pcmap.place.naver.com/place/1702983711,없음
키하라,효창동,카모마일 밀크,7000,서울 용산구 효창동 3-118,https://pcmap.place.naver.com/place/1702983711,우유
키하라,효창동,당근 마가리타,9000,서울 용산구 효창동 3-118,https://pcmap.place.naver.com/place/1702983711,없음
키하라,효창동,크랜베리 상그리아,9000,서울 용산구 효창동 3-118,https://pcmap.place.naver.com/place/1702983711,없음
키하라,효창동,우롱 카다멈 밀크,7000,서울 용산구 효창동 3-118,https://pcmap.place.naver.com/place/1702983711,우유
키하라,효창동,애플 시나몬 브리 치즈 토스트,8000,서울 용산구 효창동 3-118,https://pcmap.place.naver.com/place/1702983711,"밀, 우유"
컴포즈커피 효창공원점,효창동,아메리카노,3000,서울 용산구 효창동 5-582,https://pcmap.place.naver.com/place/1262209498,없음
파리바게뜨 효창점,효창동,프랑보아즈무즈,5000,서울 용산구 효창동 5-326,https://pcmap.place.naver.com/place/11690057,없음
파리바게뜨 효창점,효창동,블루베리 치즈무스,5000,서울 용산구 효창동 5-326,https://pcmap.place.naver.com/place/11690057,우유
파리바게뜨 효창점,효창동,카페오레,5000,서울 용산구 효창동 5-326,https://pcmap.place.naver.com/place/11690057,없음
파리바게뜨 효창점,효창동,포도치즈케이크,5000,서울 용산구 효창동 5-326,https://pcmap.place.naver.com/place/11690057,우유
파리바게뜨 효창점,효창동,고구마파이,5000,서울 용산구 효창동 5-326,https://pcmap.place.naver.com/place/11690057,밀
산골녹차냉면 본점,효창동,돈까스,10000,서울 용산구 효창동 5-327,https://pcmap.place.naver.com/place/18721300,"밀, 고기"
산골녹차냉면 본점,효창동,비빔냉면,9000,서울 용산구 효창동 5-327,https://pcmap.place.naver.com/place/18721300,밀
산골녹차냉면 본점,효창동,매운돈까스,10000,서울 용산구 효창동 5-327,https://pcmap.place.naver.com/place/18721300,"밀, 고기"
