name,address,phone,category,lat,lng,id,url
디오티티,서울 용산구 효창동 3-18,010-5580-2428,음식점 > 카페,37.54416020159115,126.95751547034415,1808798826,https://pcmap.place.naver.com/place/1808798826
화원기사식당,서울 용산구 효창동 3-319,02-712-7216,음식점 > 기사식당,37.5440322495395,126.95748725393,1136662836,https://pcmap.place.naver.com/place/1136662836
갤러스,서울 용산구 효창동 3-84,070-4156-5858,음식점 > 양식,37.54316289691269,126.95779892322118,1495907586,https://pcmap.place.naver.com/place/1495907586
어거스트95,서울 용산구 효창동 3-116,,음식점 > 카페,37.5431496086786,126.958438255099,1942755968,https://pcmap.place.naver.com/place/1942755968
키하라,서울 용산구 효창동 3-118,0503-7150-5357,음식점 > 카페,37.543055047092,126.958561646125,1702983711,https://pcmap.place.naver.com/place/1702983711
컴포즈커피 효창공원점,서울 용산구 효창동 5-582,,음식점 > 카페 > 커피전문점 > 컴포즈커피,37.54158754364463,126.96190498018962,1262209498,https://pcmap.place.naver.com/place/1262209498
파리바게뜨 효창점,서울 용산구 효창동 5-326,02-714-9013,음식점 > 간식 > 베이커리 > 파리바게뜨,37.541339757444305,126.9618700291331,11690057,https://pcmap.place.naver.com/place/11690057
산골녹차냉면 본점,서울 용산구 효창동 5-327,02-716-1988,음식점 > 한식 > 냉면,37.5412802907394,126.961867796378,18721300,https://pcmap.place.naver.com/place/18721300
모애카페,서울 용산구 효창동 5-477,010-9487-3546,음식점 > 카페,37.5413035066994,126.961222818325,1672984025,https://pcmap.place.naver.com/place/1672984025
카페에셀,서울 용산구 효창동 5-266,,음식점 > 카페,37.5409276140156,126.95807174646794,1282310461,https://pcmap.place.naver.com/place/1282310461
우물커피앤바,서울 용산구 효창동 3-57,010-5789-9874,음식점 > 카페,37.54709140506891,126.96085544282926,1524880604,https://pcmap.place.naver.com/place/1524880604
피자먹다 효창공원역점,서울 용산구 효창동 81-1,02-706-9192,음식점 > 양식 > 피자,37.5396635639962,126.960850274294,1949383276,https://pcmap.place.naver.com/place/1949383276
다과상사,서울 용산구 효창동 74,02-701-4700,음식점 > 카페,37.5393809114316,126.961646991492,37182939,https://pcmap.place.naver.com/place/37182939
이삭토스트 효창공원앞역점,서울 용산구 효창동 70-11,02-719-2529,음식점 > 간식 > 토스트 > 이삭토스트,37.5393197211007,126.961886898655,35489534,https://pcmap.place.naver.com/place/35489534
찰찰보리식빵 효창공원점,서울 용산구 효창동 70-1,010-5386-7760,음식점 > 간식 > 베이커리,37.53924501164669,126.962115497378,1733287329,https://pcmap.place.naver.com/place/1733287329
서로하,서울 용산구 효창동 5-117,,음식점 > 카페 > 테마카페 > 디저트카페,37.5399100208623,126.962338066151,1998013504,https://pcmap.place.naver.com/place/1998013504
빅리터,서울 용산구 효창동 5,,음식점 > 카페,37.5398315865106,126.962189879434,1567612890,https://pcmap.place.naver.com/place/1567612890
피자마루 용산효창공원점,서울 용산구 효창동 5-102,02-703-1082,음식점 > 양식 > 피자 > 피자마루,37.539964816535,126.961823206329,18148382,https://pcmap.place.naver.com/place/18148382
구위브런치바,서울 용산구 효창동 5-104,010-8260-9092,음식점 > 양식,37.5401154217237,126.962253100207,1997206129,https://pcmap.place.naver.com/place/1997206129
이디야커피 용산효창점,서울 용산구 효창동 5-80,02-717-9894,음식점 > 카페 > 커피전문점 > 이디야커피,37.54057761143,126.962180450647,1065357894,https://pcmap.place.naver.com/place/1065357894
투다리 효창점,서울 용산구 효창동 5-674,02-718-9021,음식점 > 술집 > 오뎅바 > 투다리,37.5408298985926,126.962202953467,11763680,https://pcmap.place.naver.com/place/11763680
퍼치,서울 용산구 효창동 5-77,,음식점 > 카페,37.5409318655651,126.962687190024,1732571439,https://pcmap.place.naver.com/place/1732571439
꿀마미 효창동점,서울 용산구 효창동 5-508,02-713-0353,음식점 > 분식,37.5410118987152,126.96219720401665,18721327,https://pcmap.place.naver.com/place/18721327
돈치앤,서울 용산구 효창동 5-506,02-3141-0306,음식점 > 일식 > 돈까스,37.54116422078543,126.96236346019893,34635758,https://pcmap.place.naver.com/place/34635758
우스블랑 본점,서울 용산구 효창동 5-51,02-706-9356,음식점 > 간식 > 베이커리,37.54138497362333,126.96238824269453,1734310853,https://pcmap.place.naver.com/place/1734310853
마타사 효창,서울 용산구 효창동 5-38,02-6487-0520,음식점 > 카페,37.541698592616825,126.9626121272351,1856240336,https://pcmap.place.naver.com/place/1856240336
스타벅스 효창공원앞역점,서울 용산구 효창동 287,1522-3232,음식점 > 카페 > 커피전문점 > 스타벅스,37.538970610627175,126.96339647660712,1600957288,https://pcmap.place.naver.com/place/1600957288
오티오커피,서울 용산구 효창동 3-188,,음식점 > 카페,37.545138837669,126.957936993446,1306448070,https://pcmap.place.naver.com/place/1306448070
고효동,서울 용산구 효창동 3-169,02-546-9366,음식점 > 카페,37.5453046842282,126.958113426767,1016376574,https://pcmap.place.naver.com/place/1016376574
PINT,서울 용산구 효창동 235-1,,음식점 > 술집 > 호프,37.5396722335357,126.9598364502,1490987248,https://pcmap.place.naver.com/place/1490987248
